propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,description,parkingSpace,highlight,newDevelopmentFinished
33328852,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/9b/ba/49/242946032.jpg,7005001-9896,22,3,339500.0,{'price': {'amount': 339500.0}},flat,sale,60.0,1,2,"rua Passos Manuel, 21",Lisboa,Arroios,São Jorge de Arroios,pt,Estefânia,38.7270924,-9.1367597,True,https://www.idealista.pt/imovel/33328852/,False,good,False,True,5658.0,{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Piso en rua Passos Manuel, 21'}",False,False,False,False,False,False,,,,
33344963,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/f0/e4/4c/242962465.jpg,OSO23040.NV,39,,2990000.0,{'price': {'amount': 2990000.0}},chalet,sale,475.0,5,4,rua Gonçalo Velho Cabral,Lisboa,Belém,Restelo,pt,,38.7083056,-9.2125185,False,https://www.idealista.pt/imovel/33344963/,True,good,False,,6295.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Belém, Lisboa', 'title': 'Casa independiente en rua Gonçalo Velho Cabral'}",False,False,True,False,False,False,"En la zona más noble de Restelo, cerca de excelentes escuelas, del hospital, accesos a la A5 y Av. Marginal, y a 5 minutos de la emblemática zona de Belém, esta imponente mansión goza de una situación privilegiada, ya que es de las pocas allí con total vista al río y al mar. De finales de los años 70, este inmueble ya sufrió varias intervenciones, pasando de la tipología original T7 + 6, al actual T5 + 4. Algunas divisiones fueron ampliadas y la casa fue reestructurada para poder funcionar, o no, como dos o tres apartamentos. La vivienda se distribuye en 4 plantas: En la planta baja hay una cocina, un comedor y una amplia sala de estar, divididas por una puerta corredera, con acceso a un balcón. También hay una suite, cuyo aseo también da apoyo a la zona social, ya que tiene dos puertas de acceso. Subiendo al 1er piso encontramos una habitación y una suite, ambas con vistas de cortar la respiración. Hay otra cocina, aseo completo y una sala con chimenea y balcón, desde la que podemos acceder al ático. El ático es una división amplia y luminosa, con varias ventanas velux, con pie derecho bastante alto en el centro, permitiendo una fácil circulación. Tiene una chimenea y un bar, prestándose para sala de juegos, escritorio, taller o incluso habitaciones, si lo desea. Todavía hay una zona de almacenamiento al fondo. En el sótano, cuyo salón da acceso directo al jardín, tenemos otra cocina, un aseo completo, dos habitaciones con ventana y tres divisiones de almacenamiento y zona técnica. ¡Pero no queda ahí! Además de una espectacular piscina en el jardín, de un garaje para 2 vehículos (más 1 aparcamiento en el exterior) esta increíble mansión le reserva aún una sorpresa: ¡una zona de gimnasio con sauna! Es innegable la calidad de construcción y de los materiales, sin embargo, con algunas modernizaciones, ¡esta mansión tiene el potencial de convertirse en una fantástica casa de ensueño! ¿Tienes curiosidad? ¡Ven a conocerla! Nota: La información proporcionada, aunque precisa, no exime su confirmación, ni podrá ser considerada vinculante.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",{'groupDescription': 'Top'},
33347408,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/26/3b/15/244204869.jpg,1217-3660,32,4,1390000.0,{'price': {'amount': 1390000.0}},flat,sale,129.0,2,2,travessa da Água da Flor s/n,Lisboa,Misericórdia,Bairro Alto,pt,,38.7135781,-9.1446998,True,https://www.idealista.pt/imovel/33347408/,True,good,False,True,10775.0,{'typology': 'flat'},"{'subtitle': 'Misericórdia, Lisboa', 'title': 'Piso en travessa da Água da Flor s/n'}",False,False,False,False,False,False,"Este lujoso apartamento de 2 dormitorios, en el corazón de Chiado, ofrece características refinadas y un confort incomparable. Con una superficie generosa, el apartamento ofrece dos grandes terrazas que ofrecen vistas cautivadoras de los encantadores alrededores. Con 1 baño completo y otro baño, e interiores meticulosamente diseñados, cada rincón de esta residencia rezuma sofisticación y refinamiento. El apartamento impresiona además por sus prácticas comodidades, incluido un amplio garaje (para 1,5 coches) y espacio de almacenamiento, lo que garantiza comodidad y facilidad de vida. Situado en un edificio equipado con dos ascensores, los residentes disfrutan de un fácil acceso a su residencia, elevando la experiencia de vida, el apartamento cuenta con acabados lujosos, que ejemplifican la moda y el estilo atemporal. Los residentes pueden disfrutar de la comodidad de la calefacción por suelo radiante y mantenerse frescos durante los días calurosos con el sistema de aire acondicionado integrado. La orientación oeste del apartamento proporciona abundante luz natural, creando un ambiente cálido y acogedor durante todo el día. Además de sus confortables características, este apartamento ofrece una tranquilidad poco común en el ajetreado corazón de Chiado, ya que es completamente silencioso, cómodo y un oasis de serenidad en medio de la vibrante vida de la ciudad. En resumen, este apartamento de lujo presenta una oportunidad excepcional para experimentar el epítome de la vida urbana de lujo en uno de los barrios más codiciados de Lisboa, ofreciendo una combinación armoniosa de comodidad, sofisticación, comodidad incomparable y una atmósfera de paz. Características: Características exteriores: terraza/terraza; Piso superior; Características interiores: chimenea; Pisos Radiantes; Electrodomésticos integrados; Armarios; Cocina americana; Tecnología de hogar inteligente; Orientación - Oeste; Otros equipos: televisión por cable; Calefacción central; Sistema de seguridad; Alarma de seguridad; Lavavajillas; Refrigerador; Microonda; Lavadora; Vistas - Vista de la ciudad; Vista del rio; Otras características - Garaje; Balcón; Cocina equipada; Aire condicionado;.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
33347387,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/ac/c6/33/241244538.jpg,124021186-31,27,1,2650000.0,{'price': {'amount': 2650000.0}},flat,sale,213.0,3,4,rua da Junqueira,Lisboa,Alcântara,Junqueira,pt,,38.7019086,-9.1816869,False,https://www.idealista.pt/empreendimento/33347387/,False,newdevelopment,True,True,12441.0,{'typology': 'flat'},"{'subtitle': 'Alcântara, Lisboa', 'title': 'Piso en rua da Junqueira'}",True,False,False,False,False,False,,,,False
33347356,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c5/88/b5/241244524.jpg,124021186-32,26,bj,1900000.0,{'price': {'amount': 1900000.0}},flat,sale,147.0,3,4,rua da Junqueira,Lisboa,Alcântara,Junqueira,pt,,38.7012857,-9.1802543,False,https://www.idealista.pt/empreendimento/33347356/,False,newdevelopment,True,True,12925.0,{'typology': 'flat'},"{'subtitle': 'Alcântara, Lisboa', 'title': 'Piso en rua da Junqueira'}",True,False,False,False,False,False,,,,False
33347386,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/39/7a/bd/241244501.jpg,124021009-191,30,2,1000000.0,{'price': {'amount': 1000000.0}},flat,sale,187.0,3,2,travessa da Horta Navia,Lisboa,Estrela,Prazeres,pt,,38.7095027,-9.172856,False,https://www.idealista.pt/empreendimento/33347386/,False,newdevelopment,True,True,5348.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Piso en travessa da Horta Navia'}",True,False,False,False,False,False,"EMPRENDIMIENTO LISTO. Las fotografías son las reales de los apartamentos Palacete - T3 – ABC 187 M2 – Terraza – Balcón – Vista - Estacionamiento Descubra el encanto intemporal de este magnífico apartamento de 3 habitaciones, inmerso en el rico tapiz de la historia, situado en una antigua mansión clasificada como patrimonio histórico. Este es más que un simple apartamento; es una experiencia única, donde el pasado se entrelaza con el presente, creando una atmósfera inigualable. Con una superficie total de 187m2, de los cuales 154,4m2 son superficie bruta privativa, este tesoro arquitectónico ofrece inmenso caché y singularidad en cada detalle. Al entrar, encontrará una sala única y exclusiva con techos trabajados y un pie derecho de más de 3 m con un balcón (4m2) que se abre a vistas encantadoras, ofreciendo un espacio adicional para relajarse y disfrutar. Un jardín privado (8m2), un oasis de refinamiento que se extiende hasta las habitaciones, proporcionando un ambiente sereno y exclusivo. La cocina, de diseño moderno, es un ejemplo de sofisticación, totalmente equipada y con una zona de comedor que invita a la convivencia. Este apartamento incorpora tecnología de punta con sistemas inteligentes de acceso y seguridad, garantizando tranquilidad y comodidad en su vida cotidiana. La lavandería común añade practicidad a su rutina, mientras que las 2 plazas de aparcamiento, equipadas con puesto de carga de vehículos eléctricos y el trastero proporcionan soluciones eficientes para las necesidades modernas. El edificio, con una clasificación energética A, es más que una casa; es un compromiso con la calidad y el confort. Cada rincón cuenta una historia, cada detalle refleja una atención meticulosa a los detalles. Este es el lugar donde la historia se encuentra con la modernidad, ofreciendo no solo un hogar, sino un estilo de vida elevado. Programe una visita hoy y déjese envolver por la atmósfera única de este apartamento que trasciende lo común, ofreciendo una vida de clase y distinción. ENG Palace - T3 – ABC 187 M2 – Terraza – Balcón – Vista - Estacionamiento Descubra el encanto intemporal de este magnífico apartamento de 3 habitaciones, inmerso en el rico tapiz de la historia, situado en una antigua mansión clasificada como patrimonio histórico. Este es más que un simple apartamento; es una experiencia única, donde el pasado se entrelaza con el presente, creando una atmósfera inigualable. Con una superficie total de 187m2, de los cuales 154,4m2 son superficie bruta privativa, esta joya arquitectónica ofrece inmenso carácter y singularidad en cada detalle. Al entrar, encontrará una sala de estar única y exclusiva con techos intrincadamente diseñados y una altura de techo de más de 3 metros, con un balcón (4m2) que se abre a vistas encantadoras, proporcionando un espacio adicional para relajarse y disfrutar. Un jardín privado (8m2), un oasis de refinamiento que se extiende hasta los dormitorios, proporciona un ambiente sereno y exclusivo. La cocina de diseño moderno es un escaparate de sofisticación, totalmente equipada con un comedor que invita a la socialización. Este apartamento incorpora tecnología de vanguardia con sistemas inteligentes de acceso y seguridad, garantizando tranquilidad y comodidad en su vida diaria. La lavandería común añade practicidad a su rutina, mientras que las 2 plazas de aparcamiento, equipadas con estaciones de carga para vehículos eléctricos, y el trastero proporcionan soluciones eficientes para las necesidades modernas. El edificio, con una calificación energética A, es más que una simple casa; es un compromiso con la calidad y el confort. Cada rincón cuenta una historia, y cada detalle refleja una atención meticulosa a los detalles. Este es el lugar donde la historia se encuentra con la modernidad, ofreciendo no solo un hogar sino un estilo de vida elevado. Programe una visita hoy y sumérjase en la atmósfera única de est",,,False
33347354,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/ab/40/9b/241244479.jpg,124021009-202,32,1,590000.0,{'price': {'amount': 590000.0}},flat,sale,116.0,2,2,travessa da Horta Navia,Lisboa,Estrela,Prazeres,pt,,38.7100871,-9.1738413,False,https://www.idealista.pt/empreendimento/33347354/,False,newdevelopment,True,True,5086.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Piso en travessa da Horta Navia'}",True,False,False,False,False,False,,,,False
33347383,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/e6/d9/a1/241244440.jpg,124021009-201,30,,790000.0,{'price': {'amount': 790000.0}},flat,sale,167.0,2,2,travessa da Horta Navia,Lisboa,Estrela,Prazeres,pt,,38.7090771,-9.1709222,False,https://www.idealista.pt/empreendimento/33347383/,False,newdevelopment,True,True,4731.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Piso en travessa da Horta Navia'}",True,False,False,False,False,False,,,,False
33347382,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/1b/af/eb/241244427.jpg,124021009-200,26,2,415000.0,{'price': {'amount': 415000.0}},flat,sale,80.0,1,1,travessa da Horta Navia,Lisboa,Estrela,Prazeres,pt,,38.7082579,-9.173694,False,https://www.idealista.pt/empreendimento/33347382/,False,newdevelopment,True,True,5188.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Piso en travessa da Horta Navia'}",True,False,False,False,False,False,,,,False
33347381,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/36/ac/2d/241244408.jpg,124021009-199,23,2,460000.0,{'price': {'amount': 460000.0}},flat,sale,85.0,1,1,travessa da Horta Navia,Lisboa,Estrela,Prazeres,pt,,38.7083449,-9.1744281,False,https://www.idealista.pt/empreendimento/33347381/,False,newdevelopment,True,True,5412.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Piso en travessa da Horta Navia'}",False,False,False,False,False,False,,,,False
