propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,neighborhood,highlight,newDevelopmentFinished
32946696,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/38/b6/97/225949461.jpg,LX-2010,27,5,800000.0,"{'price': {'amount': 800000.0, 'priceDropInfo': {'formerPrice': 980000.0, 'priceDropValue': 180000, 'priceDropPercentage': 18}}}",flat,sale,110.0,1,2,Avenida da Liberdade,Lisboa,Santo António,Av. da Liberdade - Marquês de Pombal,pt,38.7204612,-9.1484422,False,https://www.idealista.pt/imovel/32946696/,"Explora la comodidad de la vida urbana en el corazón de Lisboa con este increíble Loft con terraza, cocina equipada, suite y plaza de aparcamiento. Este espacioso apartamento es una auténtica perla, ofreciendo amplias superficies y una generosa entrada de luz natural que ilumina cada rincón. Su diseño minimalista y acabados de alta calidad son el resultado del proyecto firmado por el reconocido arquitecto Frederico Valsassina. Ubicado en la icónica urbanización Liberdade 202, este apartamento ofrece algo más que un hogar: es un estilo de vida. Con un servicio de conserjería dedicado, su comodidad y seguridad están garantizadas. La ubicación es simplemente excepcional, situada en una de las avenidas más impresionantes de Lisboa, la Avenida da Liberdade. Este proyecto contribuye positivamente a la transformación de esta zona en constante evolución. La Avenida da Liberdade, inspirada en los Campos Elíseos, es el corazón palpitante de Lisboa, que conecta la Praça dos Restauradores con la Praça do Marquês de Pombal. Además de su belleza arquitectónica, la avenida es famosa por sus encantadoras tiendas, una rica escena gastronómica que combina platos nacionales e internacionales, lugares de entretenimiento icónicos y hoteles de lujo. NO AMUEBLADO Este apartamento es una oportunidad única para experimentar lo mejor que Lisboa tiene para ofrecer. Para obtener más información, póngase en contacto con nuestro equipo de expertos. Estamos listos para ayudarlo a lograr su sueño de vivir en el vibrante corazón de esta encantadora ciudad.",True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",7273.0,{'typology': 'flat'},"{'subtitle': 'Santo António, Lisboa', 'title': 'Piso en Avenida da Liberdade'}",True,False,False,False,False,False,,,
33364176,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/5a/f8/3b/242066139.jpg,123751015-380,30,6,1390000.0,{'price': {'amount': 1390000.0}},flat,sale,316.0,4,3,rua Helena Félix s/n,Lisboa,Alvalade,Campo Grande,pt,38.7484206,-9.1518108,True,https://www.idealista.pt/imovel/33364176/,"Venga a enamorarse de este apartamento con 4 habitaciones y 1 suite recién remodelado con acabados de lujo, en una de las zonas más céntricas de la ciudad con todo tipo de comercio, servicios, transportes (METRO), parques verdes y universidad a la puerta. -2 terrazas -2 plazas de aparcamiento y trastero Edificio de 1994 en calle tranquila PLANTA 0 – Hall; aseo social; Salón; Cocina; Comedor acristalado; 4 habitaciones PLANTA 1 – Magnífica suite; vestidor; solárium, terraza ¡Espero su visita!",False,good,False,True,,4399.0,{'typology': 'flat'},"{'subtitle': 'Alvalade, Lisboa', 'title': 'Piso en rua Helena Félix s/n'}",True,False,False,False,False,False,,,
33364160,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/3f/7c/34/242065398.jpg,PF33321,31,,1750000.0,{'price': {'amount': 1750000.0}},flat,sale,138.0,3,4,Saldanha - Picoas,Lisboa,Arroios,São Jorge de Arroios,pt,38.7305706,-9.1415964,False,https://www.idealista.pt/imovel/33364160/,,True,good,False,True,,12681.0,{'typology': 'flat'},"{'subtitle': 'Saldanha - Picoas, Lisboa', 'title': 'Piso'}",True,True,False,False,False,False,Saldanha - Picoas,,
33364150,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/b4/a4/75/242065181.jpg,010761032,17,2,399900.0,{'price': {'amount': 399900.0}},flat,sale,78.0,3,2,Estrada de Benfica,Lisboa,São Domingos de Benfica,Estrada de Benfica,pt,38.7460913,-9.1815811,False,https://www.idealista.pt/imovel/33364150/,,False,good,False,,,5127.0,{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,,,
33364143,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/5d/b2/c2/242065169.jpg,010761034,9,,349900.0,{'price': {'amount': 349900.0}},flat,sale,78.0,2,1,Estrada de Benfica,Lisboa,São Domingos de Benfica,Estrada de Benfica,pt,38.7453673,-9.1780436,False,https://www.idealista.pt/imovel/33364143/,,False,good,False,,,4486.0,{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,,,
33364098,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/26/9c/b9/242063587.jpg,W-02PKCE,25,,888888.0,{'price': {'amount': 888888.0}},flat,sale,172.0,4,2,Av. da Liberdade - Marquês de Pombal,Lisboa,Santo António,Av. da Liberdade - Marquês de Pombal,pt,38.7274341,-9.147272,False,https://www.idealista.pt/imovel/33364098/,,False,good,False,,,5168.0,{'typology': 'flat'},"{'subtitle': 'Santo António, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,,,
33334740,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/e9/8d/40/240823395.jpg,UG/43,20,1,530000.0,{'price': {'amount': 530000.0}},flat,sale,96.0,2,2,Junqueira,Lisboa,Alcântara,Junqueira,pt,38.6997752,-9.1813042,False,https://www.idealista.pt/imovel/33334740/,,False,good,False,False,,5521.0,{'typology': 'flat'},"{'subtitle': 'Alcântara, Lisboa', 'title': 'Piso'}",False,False,False,False,False,False,,,
33364020,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/99/44/08/242061340.jpg,2001010-253,42,1,470000.0,{'price': {'amount': 470000.0}},flat,sale,75.0,1,1,rua Maria Brown,Lisboa,Carnide,Quinta da Luz - Colombo,pt,38.7585558,-9.1879734,False,https://www.idealista.pt/imovel/33364020/,,False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",6267.0,{'typology': 'flat'},"{'subtitle': 'Carnide, Lisboa', 'title': 'Piso en rua Maria Brown'}",True,False,False,False,False,False,,,
33338943,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/92/b6/81/244241578.jpg,1196-8900,32,,495000.0,{'price': {'amount': 495000.0}},chalet,sale,154.0,5,2,Alto da Ajuda,Lisboa,Ajuda,Alto da Ajuda,pt,38.711536,-9.2027595,False,https://www.idealista.pt/imovel/33338943/,"Descubra su nuevo hogar en el corazón del barrio de Alto da Ajuda, un lugar con una historia que se remonta al siglo XX, delimitado por los encantadores barrios de Restelo y Ajuda. Este es un barrio en ascenso, con un mercado inmobiliario en crecimiento, siendo objeto de una fuerte revalorización en los próximos años. Su nueva vivienda está estratégicamente ubicada, a solo 5 minutos a pie del Parque Forestal de Monsanto, a 10 minutos de los icónicos barrios de Ajuda y Restelo, y a 20 minutos del río Tajo. Aquí, podrá disfrutar de la proximidad a la naturaleza, con el río y el Pulmón Verde de Lisboa (Monsanto), así como de las tradiciones lisboetas, incluyendo las famosas marchas populares. A pocos pasos de su nueva casa, encontrará todos los servicios esenciales, desde farmacias y bancos hasta escuelas y centro de salud. Las grandes superficies comerciales están a solo 15 minutos a pie o a 5 minutos en coche. Además, se beneficiará de excelentes accesos, incluyendo la Marginal, A5, CRIL, CREL, 2.ª Circular, Cabos d'Ávila e IC19, que le llevarán al centro de Lisboa (Marqués de Pombal) en 10 minutos o al aeropuerto en 20 minutos. El barrio de Alto da Ajuda también cuenta con una buena red de transporte público, destacando la estación de trenes de Belém, a 20 minutos a pie de su nueva casa. La vivienda tiene 110m2 de área bruta privativa, insertada en un lote de 140m2, distribuidos de la siguiente manera: Planta baja: Comedor; Oficina; Aseo social; Cocina; Zona de lavandería autónoma; 2 habitaciones; Cuarto de baño; Sala de estar y bar; Planta 1: Mezzanine con vistas al Tajo; Espacio de almacenamiento. En los alrededores, encontrará una variedad de hospitales, clínicas, universidades, escuelas, colegios, mercados, parques y museos, incluyendo el CCB, Museo Colección Berardo, Monasterio de los Jerónimos, Torre de Belém, entre otros. Venga a vivir la vida de barrio que siempre soñó, enriquecida por una generosa dosis de cultura y naturaleza. ¡Descubra Ajuda! Para más información, póngase en contacto con nosotros. ¡No deje escapar esta oportunidad! Por favor, tenga en cuenta que la vivienda es de construcción legal, pero sufrió obras de alteración que no fueron legalizadas, quedando así en situación de ilegalidad. Compartimos este negocio (50/50) con todos los consultores y agencias inmobiliarias licenciadas con AMI válido. Le esperamos. ¡Gracias y hasta pronto! Características: Características interiores - Hall de entrada; Chimenea; Características generales - Para reformar; Vistas - Vista al río; Otras características - Trastero; Vivienda adosada.",False,good,False,,,3214.0,{'typology': 'chalet'},"{'subtitle': 'Ajuda, Lisboa', 'title': 'Chalet'}",True,False,False,False,False,False,,,
33363997,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/40/5c/a0/242059682.jpg,108240135,22,2,899900.0,"{'price': {'amount': 899900.0, 'priceDropInfo': {'formerPrice': 920000.0, 'priceDropValue': 20100, 'priceDropPercentage': 2}}}",flat,sale,163.0,4,3,rua Nova dos Mercadores,Lisboa,Parque das Nações,Expo Sul,pt,38.7578308,-9.0940036,False,https://www.idealista.pt/imovel/33363997/,,False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5521.0,{'typology': 'flat'},"{'subtitle': 'Parque das Nações, Lisboa', 'title': 'Piso en rua Nova dos Mercadores'}",False,False,False,False,False,False,,,
